time,SimpleDistrict_1_4_7_8_Power_W,SimpleDistrict_10_11_15_16_Power_W,SimpleDistrict_2_3_5_6_Power_W,SimpleDistrict_9_12_13_14_Power_W,T_amb,SimpleDistrict
01.01.2017 00:00,22225.8418,22225.8418,22225.8418,22225.8418,10.6,88903.37418
01.01.2017 01:00,20321.56771,20321.56771,20321.56771,20321.56771,10.5,81286.27767
01.01.2017 02:00,20230.86882,20230.86882,20230.86882,20230.86882,10.3,80923.48088
01.01.2017 03:00,20259.52637,20259.52637,20259.52637,20259.52637,10.1,81038.11084
01.01.2017 04:00,20195.46126,20195.46126,20195.46126,20195.46126,10,80781.84994
01.01.2017 05:00,20077.88965,20077.88965,20077.88965,20077.88965,9.9,80311.5634
01.01.2017 06:00,19884.72396,19884.72396,19884.72396,19884.72396,9.8,79538.90056
01.01.2017 07:00,1646.953776,1646.953776,1646.953776,1646.953776,9.8,6587.815348
01.01.2017 08:00,0,0,0,0,9.8,0
01.01.2017 09:00,0,0,0,0,10.1,0
01.01.2017 10:00,0,0,0,0,10.5,0
01.01.2017 11:00,0,0,0,0,10.9,0
01.01.2017 12:00,0,0,0,0,11.3,0
01.01.2017 13:00,0,0,0,0,11.5,0
01.01.2017 14:00,0,0,0,0,11.5,0
01.01.2017 15:00,0,0,0,0,11.4,0
01.01.2017 16:00,0,0,0,0,11.1,0
01.01.2017 17:00,41802.72524,41802.72524,41802.72524,41802.72524,10.8,167210.902
01.01.2017 18:00,42579.92124,42579.92124,42579.92124,42579.92124,10.5,170319.6872
01.01.2017 19:00,41547.19468,41547.19468,41547.19468,41547.19468,10.2,166188.7821
01.01.2017 20:00,36334.07031,36334.07031,36334.07031,36334.07031,9.9,145336.2871
01.01.2017 21:00,32328.05664,32328.05664,32328.05664,32328.05664,9.6,129312.2314
01.01.2017 22:00,31309.52506,31309.52506,31309.52506,31309.52506,9.3,125238.1019
01.01.2017 23:00,21152.98568,21152.98568,21152.98568,21152.98568,9,84611.94344
02.01.2017 00:00,15173.1364,15173.1364,15173.1364,15173.1364,8.8,60692.54558
02.01.2017 01:00,14548.74268,14548.74268,14548.74268,14548.74268,8.2,58194.9707
02.01.2017 02:00,14168.54427,14168.54427,14168.54427,14168.54427,7.9,56674.17709
02.01.2017 03:00,13790.42676,13790.42676,13790.42676,13790.42676,7.6,55161.70704
02.01.2017 04:00,13580.74577,13580.74577,13580.74577,13580.74577,7.2,54322.98307
02.01.2017 05:00,13456.92774,13456.92774,13456.92774,13456.92774,7,53827.71094
02.01.2017 06:00,13324.73584,13324.73584,13324.73584,13324.73584,6.8,53298.94336
02.01.2017 07:00,1151.014079,1151.014079,1151.014079,1151.014079,6.8,4604.056315
02.01.2017 08:00,0,0,0,0,8,0
02.01.2017 09:00,0,0,0,0,9.4,0
02.01.2017 10:00,0,0,0,0,10.7,0
02.01.2017 11:00,0,0,0,0,11.7,0
02.01.2017 12:00,0,0,0,0,12.3,0
02.01.2017 13:00,0,0,0,0,12.5,0
02.01.2017 14:00,0,0,0,0,12.3,0
02.01.2017 15:00,0,0,0,0,11.6,0
02.01.2017 16:00,0,0,0,0,10.6,0
02.01.2017 17:00,25584.0944,25584.0944,25584.0944,25584.0944,10,102336.3776
